Account {0} has been deactivated, Tài khoản {0} đã bị vô hiệu hóa,
Account {0} is already registered, Tài khoản {0} đã được đăng ký trước đó,
Invalid or Expired Key, Khóa không hợp lệ hoặc đã hết hạn,
The name must not be left empty, Tên không được để trống,
The phone number must not be left empty, Số điện thoại không được để trống,
The password must not be left empty, Mật khẩu không được để trống,
The country must not be left empty, Quốc gia không được để trống,
Please select a valid country name, Vui lòng chọn tên quốc gia hợp lệ,
Please accept our Terms of Service and Privacy Policy to continue, Vui lòng chấp nhận Điều khoản Dịch vụ và Chính sách Quyền riêng tư của chúng tôi để tiếp tục,
No registered account with this email address, Không có tài khoản đăng ký nào với địa chỉ email này,
Only team owner can disable the account, Chỉ chủ nhóm mới có thể vô hiệu hóa tài khoản,
Only team owner can enable the account, Chỉ chủ nhóm mới có thể kích hoạt tài khoản,
Child Team {0} already exists., Nhóm con {0} đã tồn tại.,
Child team name cannot be same as parent team, Tên của nhóm con không thể giống với tên của nhóm cha,
Child team has Active Sites, Nhóm con có các tổ chức hoạt động,
Cannot leave this team as you are the owner., Bạn không thể rời khỏi nhóm này vì bạn là chủ nhóm.,
You cannot create a new bench because your account is disabled, Bạn không thể tạo một bench mới vì tài khoản của bạn đã bị vô hiệu hóa,
A bench exists with the same name, Một bench đã tồn tại với cùng tên,
You can only create benches on your servers, Bạn chỉ có thể tạo các bench trên các máy chủ của bạn,
Need all required dependencies, Cần tất cả các phụ thuộc cần thiết,
Invalid dependencies, Các phụ thuộc không hợp lệ,
Invalid dependency, Phụ thuộc không hợp lệ,
Invalid version for, Phiên bản không hợp lệ cho,
Bench can only be deployed by the bench owner, Bench chỉ có thể được triển khai bởi chủ sở hữu của Bench,
A deploy for this bench is already in progress, Một quá trình triển khai cho bench này đã đang được tiến hành,
More than 2 regions for bench not allowed, Không được phép có hơn 2 khu vực cho bench,
"Unable to deposit funds at the moment, please try again later","Chưa thể nạp tiền ngay lúc này, vui lòng thử lại sau",
Please settle the payment for the previous deposit transaction, Vui lòng thanh toán giao dịch nạp tiền trước đó,
Transaction not found, Không tìm thấy giao dịch,
The transaction has been canceled previously, Giao dịch đã được hủy trước đó,
Unable to cancel the transaction at this time, Chưa thể hủy giao dịch ngay lúc này,
Cancellation failed, Hủy thất bại,
Parenttype{0} Parent and Parentfield are required to insert a child record, Parenttype{0} Parent và Parentfield là bắt buộc để chèn một bản ghi con,
Failed to get method for command {0} with {1}, Không thể lấy phương thức cho lệnh {0} với {1},
current_team is not set. Use X-PRESS-TEAM header in the request to set it., current_team không được thiết lập. Sử dụng tiêu đề X-PRESS-TEAM trong yêu cầu để thiết lập nó.,
Files {0} does not exist inside {2}/{3} directory., Tệp {0} không tồn tại trong thư mục {2}/{3},
Files {0} do not exist in app directory., Tệp {0} không tồn tại trong thư mục ứng dụng.,
Not a valid Frappe App! {0}, Không phải là ứng dụng Frappe hợp lệ! {0},
No approval request exists for the given app release, Không có yêu cầu phê duyệt nào tồn tại cho phiên bản ứng dụng đã cho,
The request for the given app release was not rejected!, Yêu cầu cho phiên bản ứng dụng đã cho không bị từ chối!,
The app {0} already exists and is owned by some other team., Ứng dụng {0} đã tồn tại và đang thuộc sở hữu của một nhóm khác.,
A marketplace app already exists with the given versions!, Một ứng dụng thị trường đã tồn tại với các phiên bản đã cho!,
You cannot upgrade to paid plan on Free Credits. Please buy credits before trying to upgrade plan., Bạn không thể nâng cấp lên gói trả phí khi sử dụng Tín dụng Miễn phí. Vui lòng mua tín dụng trước khi cố gắng nâng cấp gói.,
The title must not be left empty, Tiêu đề không được để trống,
The feature must not be left empty, Tính năng không được để trống,
You cannot create a new server because your account is disabled, Bạn không thể tạo một máy chủ mới vì tài khoản của bạn đã bị vô hiệu hóa,
You cannot create a new server because Hybrid Cloud is disabled for your account. Please contact support to enable it., Bạn không thể tạo một máy chủ mới vì Hybrid Cloud đã bị vô hiệu hóa cho tài khoản của bạn. Vui lòng liên hệ với bộ phận hỗ trợ để kích hoạt nó.,
Servers feature is not yet enabled on your account, Tính năng máy chủ chưa được kích hoạt trên tài khoản của bạn
You can't create a new organization because your account has been disabled, Bạn không thể tạo một tổ chức mới vì tài khoản của bạn đã bị vô hiệu hóa,
There is no root domain for the site, Không có tên miền gốc cho tổ chức,
You are not allowed to use this plan, Bạn không được phép sử dụng gói này,
You cannot take more than 3 backups after site suspension, Bạn không thể thực hiện nhiều hơn 3 bản sao lưu sau khi trang web bị đình chỉ,
No Active Team record found., Không tìm thấy bản ghi Nhóm hoạt động.,
{0} is not part of your organization., {0} không phải là phần của tổ chức của bạn.,
Bench {0} does not belong to your team, Bench {0} không thuộc về nhóm của bạn,
Bench {0} does not have an existing deploy in {1}, Bench {0} không có một quá trình triển khai tồn tại trong {1},
There are no public benches with {0}., Không có bất kỳ benches công cộng nào với {0}.,
There are no benches with <b>{0}</b> in server <b>{1}</b>., Không có bất kỳ benches nào có <b>{0}</b> trong máy chủ <b>{1}</b>.,
Not allowed, Không được phép,
Subdomain too short. Use 2 or more characters, Tên miền quá ngắn. Hãy sử dụng 2 ký tự trở lên,
Subdomain too long. Use 32 or less characters, Tên miền quá dài. Sử dụng 32 ký tự trở xuống,
Subdomain contains invalid characters. Use lowercase characters, Tên miền chứa các ký tự không hợp lệ. Sử dụng ký tự chữ thường,
numbers and hyphens, số và dấu gạch nối,
Success.,Thành công.,
An error occurred.,Có lỗi xảy ra.,
The site has stopped operating.,Trang web đã dừng hoạt động.,
Site name not found.,Không tìm thấy tên trang web.,
"Cannot change plan because you haven't added a card and not have enough balance","Không thể thay đổi gói vì bạn chưa thêm thẻ và không có đủ số dư.",
"Cannot change plan because you don't have sufficient partner credits","Không thể thay đổi gói vì bạn không có đủ tín dụng đối tác.",
"Cannot change plan because you have unpaid invoices","Không thể thay đổi gói vì bạn có hóa đơn chưa thanh toán.",
"The account balance is insufficient to create a site.","Số dư tài khoản không đủ để tạo tổ chức.",
EInvoice Status,Trạng thái hóa đơn,
EInvoice provider,Nhà cung cấp hóa đơn,
Allow EInvoice creation,Cho phép tạo hóa đơn,
Number of retry attempts on service failure,Số lần thử lại khi dịch vụ bị lỗi,
Production environment,Môi trường sản xuất,
Testing environment,Môi trường thử nghiệm,
Tax Status,Trạng thái cơ quan thuế,
End Time,Thời gian kết thúc,
EInvoice,Hóa đơn điện tử,
Environment,Môi trường,
Invoice Processing Log,Nhật ký xử lý hóa đơn,
Action,Thao tác,
Invoice Serial,Ký hiệu hóa đơn,
Invoice Form,Mẫu số hóa đơn,
Data from the supplier,Dữ liệu từ nhà cung cấp,
Is Retry,Là thử lại,
Retry Number,Thử lại lần thứ,
Invoice type,Loại hóa đơn,
Select environment,Chọn môi trường,
EInvoice service configuration,Cấu hình dịch vụ hóa đơn điện tử,
General configuration,Cấu hình chung,
Value-added tax invoice,Hóa đơn giá trị gia tăng,
Connection configuration: BKAV eHoadon,Cấu hình kết nối: BKAV eHoadon,
General connection configuration: BKAV eHoadon,Cấu hình kết nối chung: BKAV eHoadon,
"General connection configuration: M - Invoice","Cấu hình kết nối chung: M - Invoice",
"Connection configuration: M - Invoice","Cấu hình kết nối: M - Invoice",
Pending approval,Chờ duyệt,
Pending signature,Chờ ký,
Replacement EInvoice For,Hoá đơn điện tử thay thế cho,
Adjustment EInvoice For,Hoá đơn điện tử điều chỉnh cho,
Get PDF Cancellation Report Link,Lấy Link PDF biên bản thu hồi,
PDF Cancellation Report Link,Link PDF biên bản thu hồi,
Get PDF Invoice Link,Lấy Link PDF hóa đơn điện tử,
PDF Invoice Link,Link PDF hóa đơn điện tử,
Not created,Chưa tạo,
Newly created,Mới tạo,
Pending issuance,Chờ phát hành,
Pending revocation,Chờ thu hồi,
Pending adjustment,Chờ điều chỉnh,
Pending replacement,Chờ thay thế,
Replacement,Thay thế,
Replaced,Bị thay thế,
Issued,Đã phát hành,
Revoked,Đã thu hồi,
Adjustment,Điều chỉnh,
Adjusted,Bị điều chỉnh,
Not in use,Không sử dụng,
Pending processing,Chờ xử lý,
Cancelled,Đã hủy,
Create invoice,Tạo hóa đơn,
Sign invoice,Ký hóa đơn,
Sent,Đã gửi,
Update status,Cập nhật trạng thái,
Revoke invoice,Thu hồi hóa đơn,
Reason for item adjustment,Lý do điều chỉnh mục,
"Please fill in the reason for the item adjustment, up to 500 characters.","Vui lòng điền lý do điều chỉnh mục, tối đa 500 ký tự.",
Reason,Lý do,
The reason must be at least 30 characters long.,Lý do phải từ 30 ký tự trở lên.,
Please fill in all required data,Vui lòng điền đầy đủ dữ liệu,
"The reason must be at least 30 characters long. Currently, it has {lenReason} characters.","Lý do phải từ 30 ký tự trở lên. Hiện tại {lenReason} ký tự.",
Revoke electronic invoice,Thu hồi hóa đơn điện tử,
Revoke EInvoice,Thu hồi hóa đơn điện tử,
Create a replacement EInvoice,Tạo hóa đơn điện tử thay thế,
Create a replacement invoice,Tạo hóa đơn thay thế,
Invoice to be replaced,Hóa đơn cần thay thế,
Create an adjustment invoice,Tạo hóa đơn điều chỉnh,
Invoice to be adjusted,Hóa đơn cần điều chỉnh,
Create an adjustment EInvoice,Tạo hóa đơn điện tử điều chỉnh,
"Retrieving the cancellation report PDF file link, please wait a moment...","Đang lấy link file PDF biên bản hủy, vui lòng đợi trong giây lát...",
"Retrieving the invoice PDF file link, please wait a moment...","Đang lấy link file PDF hóa đơn, vui lòng đợi trong giây lát...",
"An error occurred, please try again.","Có lỗi xảy ra, vui lòng thử lại.",
An error occurred,Có lỗi xảy ra,
The system is processing the invoice replacement request.,Hệ thống đang xử lý yêu cầu thay thế hóa đơn.,
The system is processing the invoice adjustment request.,Hệ thống đang xử lý yêu cầu điều chỉnh hóa đơn.,
The system is processing the invoice revocation request.,Hệ thống đang xử lý yêu cầu thu hồi hóa đơn.,
The system is processing the invoice status update request.,Hệ thống đang xử lý yêu cầu cập nhật trạng thái hóa đơn.,
The system is processing the invoice creation request.,Hệ thống đang xử lý yêu cầu tạo hóa đơn.,
The system is processing the invoice signing request.,Hệ thống đang xử lý yêu cầu ký hóa đơn.,
An EInvoice can only be created once.,Chỉ có thể tạo hóa đơn điện tử 1 lần duy nhất.,
An EInvoice can only be signed once.,Chỉ có thể ký hóa đơn điện tử 1 lần duy nhất.,
"Electronic invoices can only be revoked when their status is `Issued` and the tax authority status is `Signed`.","Chỉ có thể thu hồi hóa đơn điện tử ở trạng thái `Đã phát hành` và trạng thái cơ quan thuế là `Đã ký`.",
"An adjustment invoice for the invoice {0} can only be created when the electronic invoice is in the status `Issued/Adjusted` and the tax authority status is `Signed`.","Chỉ có thể tạo hóa đơn điều chỉnh cho hóa đơn {0} khi hóa đơn điện tử của hóa đơn đó đang ở trạng thái `Đã phát hành/Bị điều chỉnh` và trạng thái cơ quan thuế `Đã ký`.",
"A replacement invoice for the invoice {0} can only be created when the electronic invoice is in the status `Issued/Replacement` and the tax authority status is `Signed`.","Chỉ có thể tạo hóa đơn thay thế cho hóa đơn {0} khi hóa đơn điện tử của hóa đơn đó đang ở trạng thái `Đã phát hành/Thay thế` và trạng thái cơ quan thuế `Đã ký`.",
The invoice to be adjusted does not exist.,Không tồn tại hóa đơn cần điều chỉnh.,
The invoice to be replaced does not exist.,Không tồn tại hóa đơn cần thay thế.,
Unable to sign the invoice at this time.,Không thể ký hóa đơn ngay lúc này.,
The data returned when creating the EInvoice does not exist.,Dữ liệu trả về khi tạo hóa đơn điện tử không tồn tại.,
Unable to send data to the electronic invoice service.,Không thể gửi dữ liệu đến dịch vụ hóa đơn điện tử.,
This invoice does not have a PDF file link for the revocation report.,Hóa đơn này không có link file PDF biên bản thu hồi.,
This invoice does not have a PDF file link for the EInvoice.,Hóa đơn này không có link file PDF hóa đơn điện tử.,
Unable to create a replacement electronic invoice for this invoice.,Không thể tạo hóa đơn điện tử thay thế cho hóa đơn này.,
Unable to create an adjustment electronic invoice for this invoice.,Không thể tạo hóa đơn điện tử điều chỉnh cho hóa đơn này.,
"Tax {0}% is invalid. Valid tax rates are 0% | 5% | 8% | 10%.","Tax {0}% không hợp lệ. Tax hợp lệ là 0% | 5% | 8% | 10%.",
"The system does not support the provider `{0}` yet.","Hệ thống chưa hỗ trợ nhà cung cấp `{0}`.",
Unable to create a replacement invoice for this invoice.,Không thể tạo hóa đơn thay thế cho hóa đơn này.,
Unable to create an adjustment invoice for this invoice.,Không thể tạo hóa đơn điều chỉnh cho hóa đơn này.,
"Please configure EInvoice information for the company `{0}` in `{1}`.","Vui lòng cấu hình thông tin hóa đơn điện tử cho công ty `{0}` trong `{1}`.",
"Please configure the permission to create EInvoice in `{0}`.","Vui lòng cấu hình cho phép tạo hóa đơn điện tử trong `{0}`.",
This invoice cannot be canceled once an adjustment electronic invoice has been created.,Không thể hủy hóa đơn này sau khi hóa đơn điện tử điều chỉnh đã được tạo.,
Used to send email templates and save logs in the selected language.,Được sử dụng để gửi mẫu email và lưu nhật ký bằng ngôn ngữ đã chọn.,
List of recipient emails,Danh sách email người nhận,
"Each email is separated by a `;`.","Mỗi email được phân tách bằng dấu `;`.",
Error notification email template in Vietnamese,Mẫu email thông báo lỗi bằng tiếng Việt,
Error notification email template in English,Mẫu email thông báo lỗi bằng tiếng Anh,
Allow sending emails,Cho phép gửi email,
MBW EInvoice Settings,MBW Cấu hình EInvoice,
MBW EInvoice Company,MBW EInvoice cho công ty,
MBW EInvoice Integrations,MBW Tích hợp EInvoice,
Recipient email,Email người nhận,
Number of failed invoices,Số hóa đơn không thành công,
Number of successful invoices,Số hóa đơn thành công,
Number of invoices reviewed,Số hóa đơn được xem xét,
Names of the successful invoices,Mã các hóa đơn thành công,
Names of the failed invoices,Mã các hóa đơn không thành công,
Vietnamese,Tiếng việt,
English,Tiếng anh,
Variables present in the EInvoice email,Các biến có trong email EInvoice,
Cancel and redo,Hủy và thực hiện lại,
"Can only be performed when the record is in the `Pending processing` status.","Chỉ có thể được thực hiện khi bản ghi ở trạng thái `Chờ xử lý`.",
"The system is processing the request to redo the action `{0}`.","Hệ thống đang xử lý yêu cầu thực hiện lại hành động `{0}`.",
Unable to process this record.,Không thể xử lý bản ghi này.,
Attached data,Dữ liệu đính kèm,
Unable to generate an EInvoice for this bill.,Không thể tạo hóa đơn điện tử cho hóa đơn này.,
"A configuration already exists for company `{0}` with the provider `{1}` and environment `{2}`.","Cấu hình đã tồn tại cho công ty `{0}` với nhà cung cấp `{1}` và môi trường `{2}`.",
Unit code,Mã đơn vị,
Tax Code,Mã số thuế,
Unable to retrieve token,Không thể lấy mã token,
Security number,Số bảo mật,
No permission to create.,Không có quyền tạo.,